tiporesiduo;bairro;endereco;complemento;observacao;latitude;longitude
Materiais Recicláveis;;Praça do Arraial Novo do Bom Jesus - Cordeiro - Cordeiro, Recife - PE, 50640-040, Brasil;;PEV;-8.057104;-34.930558
Materiais Recicláveis;;R. Tumiritinga, 115 - Torrões, Recife - PE, 50640-430, Brasil;;PEV;-8.057688;-34.935291
Materiais Recicláveis;;R. Ciclovia República da Argélia, 10 - Iputinga, Recife - PE, 50711-670, Brasil;;PEV;-8.044144;-34.916223
Materiais Recicláveis;;Praça Bom Pastor, 1308 - Iputinga, Recife - PE, 50670-260, Brasil;;PEV;-8.048485;-34.940198
Materiais Recicláveis;;R. Antônio Curado, 352-428 - Engenho do Meio, Recife - PE, 50730-180, Brasil - Engenho do Meio, Recife - PE, 50730-120, Brasil;;PEV;-8.057298;-34.942138
Materiais Recicláveis;;Av. Sport Clube do Recife, 830 - Ilha do Retiro, Recife - PE, 50750-500, Brasil;;PEV;-8.061184;-34.902856
Materiais Recicláveis;;Av. Beira Rio, 1008 - Madalena, Recife - PE, 50710-430, Brasil;;PEV;-8.046852;-34.904118
Materiais Recicláveis;;R. Castro Leão, 299 - Madalena, Recife - PE, 50610-600, Brasil;;PEV;-8.054359;-34.908995
Materiais Recicláveis;;Praça Professor Barreto Campelo, 1183 - Torre, Recife - PE, 50710-290, Brasil;;PEV;-8.047049;-34.913819
Materiais Recicláveis;;Estação Riacho Cavouco - Sentido Subúrbio - Várzea, Recife - PE, 50740-060, Brasil;;PEV;-8.03667;-34.94587
Materiais Recicláveis;;R. São Mateus, 6 - Iputinga, Recife - PE, 54789-490, Brasil;;PEV;-8.029139;-34.934141
Materiais Recicláveis;;Av. Gen. San Martin, 1862 - Jiquiá, Recife - PE, 50761-000, Brasil;;PEV;-8.066807;-34.927582
Materiais Recicláveis;;R. Nelsom de Sena, 5 - Curado, Recife - PE, 50791-520, Brasil;;PEV;-8.077634;-34.971882
Materiais Recicláveis;;Av. Liberdade, 65 - Tejipio, Recife - PE, 50920-410, Brasil;;PEV;-8.082147;-34.960266
Materiais Recicláveis;;R. Cap. Ponciano, 201 - Barro, Recife - PE, 50780-040, Brasil;;PEV;-8.095263;-34.943601
Materiais Recicláveis;;R. Álvaro Fragoso, 216 - Areias, Recife - PE, 50870-140, Brasil;;PEV;-8.09606;-34.931721
Materiais Recicláveis;;Av. Central, 5916 - Jardim São Paulo, Recife - PE, 50920-000, Brasil;;PEV;-8.085763;-34.936725
Materiais Recicláveis;;Av. Mascarenhas de Moraes, 533 - Imbiribeira, Recife - PE, 51150-000, Brasil;;PEV;-8.087189;-34.907475
Materiais Recicláveis;;R. Nova Verona, 101 - Imbiribeira, Recife - PE, 51170-310, Brasil;;PEV;-8.096544;-34.91565
Materiais Recicláveis;;Av. Pres. Dutra, 50 - Imbiribeira, Recife - PE, 51190-505, Brasil;;PEV;-8.123409;-34.915241
Materiais Recicláveis;;Av. Mascarenhas de Moraes, 203 - Imbiribeira, Recife - PE, 51150-000, Brasil;;PEV;-8.134015;-34.916686
Materiais Recicláveis;;Av. Boa Viagem, 4862 - Boa Viagem, Recife - PE, 51021-000, Brasil;;PEV;-8.131883;-34.900145
Materiais Recicláveis;;First Garden of Boa Viagem - Av. Boa Viagem, 1156-1220 - Boa Viagem, Recife - PE, 51110-020, Brasil;;PEV;-8.10147;-34.885324
Materiais Recicláveis;;R. Barão de Souza Leão, 131 - Boa Viagem, Recife - PE, 51030-300, Brasil;;PEV;-8.13215;-34.901202
Materiais Recicláveis;;Av. Boa Viagem, 3196 - Boa Viagem, Recife - PE, 51020-001, Brasil;;PEV;-8.105139;-34.887018
Materiais Recicláveis;;R. Quatorze, 216 - Imbiribeira, Recife - PE, 51170, Brasil;;PEV;-8.099578;-34.908741
Materiais Recicláveis;;Av. Antônio de Goes, 1050 - Pina, Recife - PE, 51110-131, Brasil;;PEV;-8.084317;-34.887553
Materiais Recicláveis;;Av. Santos, 15 - COHAB, Recife - PE, 51340-210, Brasil;;PEV;-8.115285;-34.95355
Materiais Recicláveis;;R. Rio Tapado, 39 - Ibura, Recife - PE, 51230-130, Brasil;;PEV;-8.116771;-34.943378
metal,isopor,papel,plastico,vidro;Recife;Av. Cais do Apolo;Prefeitura do Recife (área interna );Prefeitura do Recife;-8.054732;-34.872078
metal,isopor,papel,plastico,vidro;Recife;Rua do Bom Jesus;Em frente ao Museu Arq. e Pça do Arsenal;Ecoponto;-8.061468;-34.871037
metal,isopor,papel,plastico,vidro;Recife;Av. Marques de Olinda;Calçada da cimento nassau( em frete ao marco zero);Ecoponto;-8.063282;-34.871568
metal,isopor,papel,plastico,vidro;Recife;Av. Rio Branco;Calçada do Banco do Brasil;Ecoponto;-8.062334;-34.873668
metal,isopor,papel,plastico,vidro;Santo Antônio;Avenida Dantas Barreto;Calçada da Praça da Independência;Ecoponto;-8.064094;-34.878483
metal,isopor,papel,plastico,vidro;São José;Rua Floriano Peixoto;Dentro da Estação de Metrô;Ecoponto;-8.068556;-34.88447
metal,isopor,papel,plastico,vidro;Santo Antônio;Rua da Aurora;Calçada em frente à quadra, lado oposto ;Ecoponto;-8.054618;-34.876745
metal,isopor,papel,pastico,vidro;Santo Amaro;Rua Princesa Isabel;Calçada do Parque 13 de Maio;Ecoponto;-8.058044;-34.882159
metal,isopor,papel,plastico,vidro;Ilha do Leite;Praça Miguel Cervantes;Primeira Ilha;Ecoponto;-8.065414;-34.893205
metal,isopor,papel,pastico,vidro;Paissandu;Avenida Lins Petit - Praça Chora Menino;Em frente da Praça Chora Menino;Ecoponto;-8.060445;-34.894878
metal,isopor,papel,plastico,vidro;Derby;Av. Agamenon Magalhães;Praça do Derby;Ecoponto;-8.056318;-34.898245
metal,isopor,papel,plastico,vidro;Santo Amaro;Av. Gov. Agamenon Magalhães;Praça do Parque Amorim;Ecoponto;-8.051932;-34.89503
metal,isopor,papel,plastico,vidro;Hipódromo;Rua Carlos Fernandes;Na Praça do Hipódromo;Ecoponto;-8.032588;-34.886414
metal,isopor,papel,plastico,vidro;Rosarinho;Av. Santos Dumont;Praça do Rosarinho;Ecoponto;-8.032848;-34.89619
metal,isopor,papel,plastico,vidro;Campo Grande;Av. Professor José dos Anjos;EcoEstação Arruda : Em frente da ponte do Rio Beberibe;Ecoponto;-8.020431;-34.87449
